year,oni_djf,rainfall_jjas,rainfall_ond,rice_yield,groundnut_yield,reservoir_storage_pct
1991,0.4,368.5,480.9,3161.5275,1366.455,47.95701270107387
1992,1.7,361.4,473.2,3038.6241666666665,1542.6466666666665,47.95701270107387
1993,0.1,314.0,693.5,2932.3325,1380.28,47.95701270107387
1994,0.1,264.2,486.6,3401.9183333333335,1724.4733333333334,47.95701270107387
1995,1.0,366.4,254.7,2780.9516666666664,1620.1441666666667,47.95701270107387
1996,-0.9,434.3,493.3,2903.4441666666667,1584.4350000000002,47.95701270107387
1997,-0.5,286.3,562.8,3310.1766666666667,1475.3791666666666,47.95701270107387
1998,2.2,419.6,564.0,3852.455,1723.5458333333333,47.95701270107387
1999,-1.5,249.6,505.3,3772.0750000000003,1642.6941666666664,47.95701270107387
2000,-1.7,403.9,357.8,3753.235,1708.7091666666668,59.27057981293843
2001,-0.7,149.5,149.3,3496.9833333333336,1803.28,43.39600753442453
2002,-0.1,94.2,153.1,2836.75,1482.5891666666666,17.99364362171993
2003,0.9,136.6,152.6,2690.1091666666666,1389.3883333333333,14.170554897375942
2004,0.4,413.2,500.6,3077.5483333333336,1625.0383333333332,32.93396765393609
2005,0.6,334.8,782.3,2903.1749999999997,1717.1733333333334,54.5036070667706
2006,-0.9,280.6,481.6,3526.8008333333332,1880.5491666666667,82.65132021304235
2007,0.7,399.7,548.0,3198.3608333333336,1695.5491666666667,67.98449696024943
2008,-1.6,321.5,591.2,3296.3250000000003,1861.0458333333333,62.642344141335414
2009,-0.8,280.4,482.9,3415.629166666667,2034.2625,42.10978121590024
2010,1.5,365.4,601.2,3498.315,2067.6716666666666,49.45942195375422
2011,-1.3,306.4,471.8,4153.54,2480.8908333333334,67.31276936866719
2012,-0.7,259.5,293.6,3383.3775,2193.5275,36.655699870096136
2013,-0.3,321.5,293.4,4209.6125,2503.4925,32.8909505066251
2014,-0.3,315.1,428.9,4663.368333333333,2748.9025,36.83311779683035
2015,0.7,285.9,665.3,3993.4991666666665,2628.4691666666668,44.520183839958435
2016,2.6,253.9,166.0,3728.8825,2156.0958333333333,23.244151649779166
2017,-0.2,414.6,393.9,3907.86,3053.4733333333334,21.291109405040274
